,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,CLV,Churn,RevenueAtRisk
0,12346.0,326,1,77183.6,1,1,4,114,Lost Customers,77183.6,1,77183.6
1,12347.0,2,7,4310.0,4,4,4,444,Champions,30170.0,0,0.0
2,12348.0,75,4,1797.24,2,3,4,234,At Risk,7188.96,0,0.0
3,12349.0,19,1,1757.55,3,1,4,314,Potential Loyalists,1757.55,0,0.0
4,12350.0,310,1,334.40000000000003,1,1,2,112,Lost Customers,334.40000000000003,1,334.40000000000003
5,12352.0,36,8,2506.04,3,4,4,344,Loyal Customers,20048.32,0,0.0
6,12353.0,204,1,89.0,1,1,1,111,Lost Customers,89.0,1,89.0
7,12354.0,232,1,1079.4,1,1,3,113,Lost Customers,1079.4,1,1079.4
8,12355.0,214,1,459.40000000000003,1,1,2,112,Lost Customers,459.40000000000003,1,459.40000000000003
9,12356.0,23,3,2811.43,3,3,4,334,Loyal Customers,8434.289999999999,0,0.0
10,12357.0,33,1,6207.67,3,1,4,314,Potential Loyalists,6207.67,0,0.0
11,12358.0,2,2,1168.06,4,2,3,423,Potential Loyalists,2336.12,0,0.0
12,12359.0,58,4,6310.03,2,3,4,234,At Risk,25240.12,0,0.0
13,12360.0,52,3,2662.06,2,3,4,234,At Risk,7986.18,0,0.0
14,12361.0,287,1,189.9,1,1,1,111,Lost Customers,189.9,1,189.9
15,12362.0,3,10,5226.2300000000005,4,4,4,444,Champions,52262.3,0,0.0
16,12363.0,110,2,552.0,2,2,2,222,Lost Customers,1104.0,1,1104.0
17,12364.0,8,4,1313.1,4,3,3,433,Loyal Customers,5252.4,0,0.0
18,12365.0,291,2,641.38,1,2,2,122,Lost Customers,1282.76,1,1282.76
19,12367.0,4,1,168.9,4,1,1,411,Potential Loyalists,168.9,0,0.0
20,12370.0,51,4,3541.94,3,3,4,334,Loyal Customers,14167.76,0,0.0
21,12371.0,45,2,1887.96,3,2,4,324,Potential Loyalists,3775.92,0,0.0
22,12372.0,72,3,1298.04,2,3,3,233,At Risk,3894.12,0,0.0
23,12373.0,311,1,364.6,1,1,2,112,Lost Customers,364.6,1,364.6
24,12374.0,25,1,742.9300000000001,3,1,3,313,Potential Loyalists,742.9300000000001,0,0.0
25,12375.0,11,2,457.5,4,2,2,422,Potential Loyalists,915.0,0,0.0
26,12377.0,315,2,1628.1200000000001,1,2,3,123,Lost Customers,3256.2400000000002,1,3256.2400000000002
27,12378.0,130,1,4008.62,2,1,4,214,Lost Customers,4008.62,1,4008.62
28,12379.0,82,2,852.24,2,2,3,223,Lost Customers,1704.48,0,0.0
29,12380.0,22,4,2724.81,3,3,4,334,Loyal Customers,10899.24,0,0.0
30,12381.0,5,5,1845.31,4,3,4,434,Loyal Customers,9226.55,0,0.0
31,12383.0,185,5,1850.56,1,3,4,134,At Risk,9252.8,1,9252.8
32,12384.0,29,2,585.27,3,2,2,322,Potential Loyalists,1170.54,0,0.0
33,12386.0,338,2,401.9,1,2,2,122,Lost Customers,803.8,1,803.8
34,12388.0,16,6,2780.6600000000003,4,4,4,444,Champions,16683.960000000003,0,0.0
35,12390.0,80,1,549.84,2,1,2,212,Lost Customers,549.84,0,0.0
36,12391.0,22,1,439.66,3,1,2,312,Potential Loyalists,439.66,0,0.0
37,12393.0,72,4,1582.6000000000001,2,3,3,233,At Risk,6330.400000000001,0,0.0
38,12394.0,64,2,1272.48,2,2,3,223,Lost Customers,2544.96,0,0.0
39,12395.0,19,12,3018.63,3,4,4,344,Loyal Customers,36223.56,0,0.0
40,12397.0,36,2,2409.9,3,2,4,324,Potential Loyalists,4819.8,0,0.0
41,12398.0,46,1,1635.6599999999999,3,1,3,313,Potential Loyalists,1635.6599999999999,0,0.0
42,12399.0,119,4,1108.65,2,3,3,233,At Risk,4434.6,1,4434.6
43,12401.0,303,1,84.3,1,1,1,111,Lost Customers,84.3,1,84.3
44,12402.0,323,1,225.60000000000002,1,1,1,111,Lost Customers,225.60000000000002,1,225.60000000000002
45,12403.0,50,1,427.7,3,1,2,312,Potential Loyalists,427.7,0,0.0
46,12405.0,149,1,1710.39,1,1,4,114,Lost Customers,1710.39,1,1710.39
47,12406.0,22,2,3415.3,3,2,4,324,Potential Loyalists,6830.6,0,0.0
48,12407.0,50,5,1708.12,3,3,4,334,Loyal Customers,8540.599999999999,0,0.0
49,12408.0,33,5,2888.55,3,3,4,334,Loyal Customers,14442.75,0,0.0
50,12409.0,79,3,11072.67,2,3,4,234,At Risk,33218.01,0,0.0
51,12410.0,309,2,693.33,1,2,3,123,Lost Customers,1386.66,1,1386.66
52,12412.0,75,3,1226.88,2,3,3,233,At Risk,3680.6400000000003,0,0.0
53,12413.0,67,3,758.1,2,3,3,233,At Risk,2274.3,0,0.0
54,12414.0,217,3,562.4100000000001,1,3,2,132,At Risk,1687.2300000000002,1,1687.2300000000002
55,12415.0,24,21,124914.53,3,4,4,344,Loyal Customers,2623205.13,0,0.0
56,12417.0,3,9,3649.1,4,4,4,444,Champions,32841.9,0,0.0
57,12418.0,113,1,668.58,2,1,3,213,Lost Customers,668.58,1,668.58
58,12420.0,64,1,600.39,2,1,2,212,Lost Customers,600.39,0,0.0
59,12421.0,16,4,807.04,4,3,3,433,Loyal Customers,3228.16,0,0.0
60,12422.0,96,3,803.5600000000001,2,3,3,233,At Risk,2410.6800000000003,1,2410.6800000000003
61,12423.0,1,8,1859.31,4,4,4,444,Champions,14874.48,0,0.0
62,12424.0,163,2,1760.96,1,2,4,124,Lost Customers,3521.92,1,3521.92
63,12425.0,78,1,777.2,2,1,3,213,Lost Customers,777.2,0,0.0
64,12426.0,195,1,582.73,1,1,2,112,Lost Customers,582.73,1,582.73
65,12427.0,22,3,825.8000000000001,3,3,3,333,Loyal Customers,2477.4,0,0.0
66,12428.0,26,9,7956.46,3,4,4,344,Loyal Customers,71608.14,0,0.0
67,12429.0,9,4,3750.4,4,3,4,434,Loyal Customers,15001.6,0,0.0
68,12430.0,43,1,256.4,3,1,1,311,Potential Loyalists,256.4,0,0.0
69,12431.0,36,15,6419.95,3,4,4,344,Loyal Customers,96299.25,0,0.0
70,12432.0,43,5,5059.32,3,3,4,334,Loyal Customers,25296.6,0,0.0
71,12433.0,1,7,13375.87,4,4,4,444,Champions,93631.09000000001,0,0.0
72,12434.0,85,2,806.14,2,2,3,223,Lost Customers,1612.28,0,0.0
73,12435.0,80,2,7829.89,2,2,4,224,Lost Customers,15659.78,0,0.0
74,12436.0,100,1,509.01,2,1,2,212,Lost Customers,509.01,1,509.01
75,12437.0,2,18,4951.41,4,4,4,444,Champions,89125.38,0,0.0
76,12438.0,14,2,2906.85,4,2,4,424,Potential Loyalists,5813.7,0,0.0
77,12441.0,367,1,173.55,1,1,1,111,Lost Customers,173.55,1,173.55
78,12442.0,3,1,172.06,4,1,1,411,Potential Loyalists,172.06,0,0.0
79,12444.0,21,5,5005.46,3,3,4,334,Loyal Customers,25027.3,0,0.0
80,12445.0,22,1,133.4,3,1,1,311,Potential Loyalists,133.4,0,0.0
81,12446.0,58,1,1002.3100000000001,2,1,3,213,Lost Customers,1002.3100000000001,0,0.0
82,12447.0,243,1,476.49,1,1,2,112,Lost Customers,476.49,1,476.49
83,12448.0,44,1,449.45,3,1,2,312,Potential Loyalists,449.45,0,0.0
84,12449.0,22,4,4067.29,3,3,4,334,Loyal Customers,16269.16,0,0.0
85,12450.0,156,2,197.88,1,2,1,121,Lost Customers,395.76,1,395.76
86,12451.0,11,5,9035.52,4,3,4,434,Loyal Customers,45177.600000000006,0,0.0
87,12452.0,17,2,430.57000000000005,4,2,2,422,Potential Loyalists,861.1400000000001,0,0.0
88,12453.0,134,1,707.09,2,1,3,213,Lost Customers,707.09,1,707.09
89,12454.0,56,1,3528.34,2,1,4,214,Lost Customers,3528.34,0,0.0
90,12455.0,73,6,2466.86,2,4,4,244,At Risk,14801.16,0,0.0
91,12456.0,44,3,3181.04,3,3,4,334,Loyal Customers,9543.119999999999,0,0.0
92,12457.0,66,7,2363.23,2,4,4,244,At Risk,16542.61,0,0.0
93,12458.0,71,2,947.4,2,2,3,223,Lost Customers,1894.8,0,0.0
94,12461.0,94,2,826.88,2,2,3,223,Lost Customers,1653.76,1,1653.76
95,12462.0,19,2,1189.59,3,2,3,323,Potential Loyalists,2379.18,0,0.0
96,12463.0,53,4,1344.78,2,3,3,233,At Risk,5379.12,0,0.0
97,12464.0,10,8,1212.05,4,4,3,443,Champions,9696.4,0,0.0
98,12465.0,17,2,742.19,4,2,3,423,Potential Loyalists,1484.38,0,0.0
99,12468.0,188,2,729.54,1,2,3,123,Lost Customers,1459.08,1,1459.08
100,12471.0,2,30,19788.65,4,4,4,444,Champions,593659.5,0,0.0
101,12472.0,32,7,6572.11,3,4,4,344,Loyal Customers,46004.77,0,0.0
102,12473.0,29,5,3928.05,3,3,4,334,Loyal Customers,19640.25,0,0.0
103,12474.0,17,18,7324.09,4,4,4,444,Champions,131833.62,0,0.0
104,12475.0,54,1,723.38,2,1,3,213,Lost Customers,723.38,0,0.0
105,12476.0,16,11,6816.42,4,4,4,444,Champions,74980.62,0,0.0
106,12477.0,23,6,13219.74,3,4,4,344,Loyal Customers,79318.44,0,0.0
107,12478.0,4,1,680.99,4,1,3,413,Potential Loyalists,680.99,0,0.0
108,12479.0,11,1,527.2,4,1,2,412,Potential Loyalists,527.2,0,0.0
109,12480.0,28,4,3281.63,3,3,4,334,Loyal Customers,13126.52,0,0.0
110,12481.0,23,10,5579.82,3,4,4,344,Loyal Customers,55798.2,0,0.0
111,12483.0,17,8,2484.98,4,4,4,444,Champions,19879.84,0,0.0
112,12484.0,33,6,4527.32,3,4,4,344,Loyal Customers,27163.92,0,0.0
113,12488.0,10,3,1298.66,4,3,3,433,Loyal Customers,3895.9800000000005,0,0.0
114,12489.0,336,1,334.93,1,1,2,112,Lost Customers,334.93,1,334.93
115,12490.0,5,10,5417.93,4,4,4,444,Champions,54179.3,0,0.0
116,12491.0,39,1,460.40000000000003,3,1,2,312,Potential Loyalists,460.40000000000003,0,0.0
117,12492.0,63,2,263.21000000000004,2,2,1,221,Lost Customers,526.4200000000001,0,0.0
118,12493.0,166,2,433.74,1,2,2,122,Lost Customers,867.48,1,867.48
119,12494.0,16,7,1246.1,4,4,3,443,Champions,8722.699999999999,0,0.0
120,12497.0,82,1,1043.1,2,1,3,213,Lost Customers,1043.1,0,0.0
121,12498.0,21,3,403.70000000000005,3,3,2,332,Loyal Customers,1211.1000000000001,0,0.0
122,12500.0,23,11,4257.82,3,4,4,344,Loyal Customers,46836.02,0,0.0
123,12501.0,337,1,2169.39,1,1,4,114,Lost Customers,2169.39,1,2169.39
124,12502.0,96,5,3723.87,2,3,4,234,At Risk,18619.35,1,18619.35
125,12504.0,18,2,482.04999999999995,4,2,2,422,Potential Loyalists,964.0999999999999,0,0.0
126,12506.0,233,1,73.5,1,1,1,111,Lost Customers,73.5,1,73.5
127,12507.0,134,3,1304.81,2,3,3,233,At Risk,3914.43,1,3914.43
128,12508.0,26,2,397.88,3,2,2,322,Potential Loyalists,795.76,0,0.0
129,12509.0,284,1,176.5,1,1,1,111,Lost Customers,176.5,1,176.5
130,12510.0,143,2,982.5699999999999,1,2,3,123,Lost Customers,1965.1399999999999,1,1965.1399999999999
131,12512.0,66,2,132.18,2,2,1,221,Lost Customers,264.36,0,0.0
132,12513.0,113,1,612.29,2,1,2,212,Lost Customers,612.29,1,612.29
133,12514.0,267,1,1017.6800000000001,1,1,3,113,Lost Customers,1017.6800000000001,1,1017.6800000000001
134,12515.0,353,1,383.7,1,1,2,112,Lost Customers,383.7,1,383.7
135,12516.0,78,2,1312.06,2,2,3,223,Lost Customers,2624.12,0,0.0
136,12517.0,28,5,2481.6,3,3,4,334,Loyal Customers,12408.0,0,0.0
137,12518.0,1,5,2056.89,4,3,4,434,Loyal Customers,10284.449999999999,0,0.0
138,12519.0,64,1,330.84000000000003,2,1,2,212,Lost Customers,330.84000000000003,0,0.0
139,12520.0,79,5,2634.26,2,3,4,234,At Risk,13171.300000000001,0,0.0
140,12521.0,143,1,599.68,1,1,2,112,Lost Customers,599.68,1,599.68
141,12522.0,39,2,192.72,3,2,1,321,Potential Loyalists,385.44,0,0.0
142,12523.0,19,11,1789.77,3,4,4,344,Loyal Customers,19687.47,0,0.0
143,12524.0,9,8,4485.72,4,4,4,444,Champions,35885.76,0,0.0
144,12526.0,1,3,1316.66,4,3,3,433,Loyal Customers,3949.9800000000005,0,0.0
145,12527.0,82,3,348.71000000000004,2,3,2,232,At Risk,1046.13,0,0.0
146,12528.0,9,6,1933.48,4,4,4,444,Champions,11600.880000000001,0,0.0
147,12530.0,60,4,1662.28,2,3,4,234,At Risk,6649.12,0,0.0
148,12531.0,15,1,125.22,4,1,1,411,Potential Loyalists,125.22,0,0.0
149,12532.0,30,1,349.83000000000004,3,1,2,312,Potential Loyalists,349.83000000000004,0,0.0
150,12534.0,131,1,1089.18,2,1,3,213,Lost Customers,1089.18,1,1089.18
151,12535.0,92,2,716.35,2,2,3,223,Lost Customers,1432.7,1,1432.7
152,12536.0,43,3,12601.830000000002,3,3,4,334,Loyal Customers,37805.490000000005,0,0.0
153,12538.0,29,1,363.95,3,1,2,312,Potential Loyalists,363.95,0,0.0
154,12539.0,22,4,5568.35,3,3,4,334,Loyal Customers,22273.4,0,0.0
155,12540.0,20,17,13400.24,3,4,4,344,Loyal Customers,227804.08,0,0.0
156,12541.0,30,3,981.18,3,3,3,333,Loyal Customers,2943.54,0,0.0
157,12544.0,36,1,372.7,3,1,2,312,Potential Loyalists,372.7,0,0.0
158,12545.0,75,2,1000.39,2,2,3,223,Lost Customers,2000.78,0,0.0
159,12546.0,47,2,1161.5,3,2,3,323,Potential Loyalists,2323.0,0,0.0
160,12547.0,198,2,207.8,1,2,1,121,Lost Customers,415.6,1,415.6
